title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
"Central apartment in Nydalen, Oslo",https://www.airbnb.com/rooms/19635560?adults=1&children=0&infants=0&check_in=2021-08-30&check_out=2021-09-06&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Sagene,Entire apartment,59.94693,10.76971,95,5.0,19,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Private room in central apartment (Bislett),https://www.airbnb.com/rooms/30146931?adults=1&children=0&infants=0&check_in=2021-06-29&check_out=2021-07-05&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,St. Hanshaugen,Private room,59.92833,10.73396,51,5.0,13,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
"Beautiful flat in the heart of Grünerløkka, Oslo",https://www.airbnb.com/rooms/13013993?adults=1&children=0&infants=0&check_in=2021-07-04&check_out=2021-07-09&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Grünerløkka,Entire apartment,59.91958,10.76332,109,4.67,8,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Urban Apartments St Hanshaugen Studio 302,https://www.airbnb.com/rooms/45338361?adults=1&children=0&infants=0&check_in=2021-07-02&check_out=2021-07-08&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,St. Hanshaugen,Entire apartment,59.92071,10.74242,63,4.80,5,2,1,1,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bo sentralt i Oslo,  historisk bygg midt på Sagene",https://www.airbnb.com/rooms/43741992?adults=1&children=0&infants=0&check_in=2021-06-20&check_out=2021-06-25&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Sagene,Entire apartment,59.9375,10.75216,117,,,6,0,3,3,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Tøyens Cosiest Apartment,https://www.airbnb.com/rooms/44223702?adults=1&children=0&infants=0&check_in=2021-08-03&check_out=2021-08-10&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Gamle Oslo,Entire apartment,59.91106,10.7757,81,,,5,0,2,2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Moderne delikat leilighet nær Ullevål Hageby,https://www.airbnb.com/rooms/45010938?adults=1&children=0&infants=0&check_in=2021-08-25&check_out=2021-08-30&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Nordre Aker,Entire apartment,59.94567,10.73953,117,5.0,4,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Urban Apartments St Hanshaugen Studio 408,https://www.airbnb.com/rooms/45343184?adults=1&children=0&infants=0&check_in=2021-08-01&check_out=2021-08-08&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,St. Hanshaugen,Entire apartment,59.92092,10.74335,52,,,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lucy Roof spacious loft,https://www.airbnb.com/rooms/28928462?adults=1&children=0&infants=0&check_in=2021-07-21&check_out=2021-07-27&previous_page_section_name=1000&federated_search_id=476ff63d-612f-4dbe-afa6-713c09584127,Oslo,Majorstuen,Entire loft,59.92401,10.72618,131,,,3,0,1,2,1.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern 47 square meter apt. with private balcony!,https://www.airbnb.com/rooms/40188246?adults=1&children=0&infants=0&check_in=2021-07-26&check_out=2021-08-01&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Gamle Oslo,Entire apartment,59.9175,10.7873,98,5.0,13,3,0,1,2,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0
"Loft + private patio, Grünerløkka Oslo",https://www.airbnb.com/rooms/4212516?adults=1&children=0&infants=0&check_in=2021-06-16&check_out=2021-06-23&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Grünerløkka,Entire loft,59.9204,10.7624,155,5.0,18,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Comfortable apartment Oslo west end,https://www.airbnb.com/rooms/12040880?adults=1&children=0&infants=0&check_in=2021-08-27&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Majorstuen,Entire apartment,59.92466,10.7147,103,4.97,76,3,0,1,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Urban Apartments Grünerløkka Spacious Studio,https://www.airbnb.com/rooms/33937914?adults=1&children=0&infants=0&check_in=2021-08-03&check_out=2021-08-09&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Grünerløkka,Entire loft,59.92331,10.76175,80,4.81,58,2,1,1,2,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0
two bedroom apartment,https://www.airbnb.com/rooms/18081679?adults=1&children=0&infants=0&check_in=2021-08-12&check_out=2021-08-19&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Nordstrand,Entire apartment,59.86506,10.81988,68,4.90,53,5,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Moderne delikat leilighet nær Ullevål Hageby,https://www.airbnb.com/rooms/45010938?adults=1&children=0&infants=0&check_in=2021-08-25&check_out=2021-08-30&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Nordre Aker,Entire apartment,59.94567,10.73953,117,5.0,4,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Leilighet for 2 med høy standard på Oslo Vest,https://www.airbnb.com/rooms/37241096?adults=1&children=0&infants=0&check_in=2021-07-08&check_out=2021-07-15&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Ullern,Entire condominium,59.92391,10.63042,93,4.85,20,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Modern apartment in Stabekk,https://www.airbnb.com/rooms/39978138?adults=1&children=0&infants=0&check_in=2021-07-15&check_out=2021-07-22&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Bærum,Entire apartment,59.91294,10.61288,49,,,2,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
**KING BED**CENTRAL**PRIVATE,https://www.airbnb.com/rooms/34681252?adults=1&children=0&infants=0&check_in=2021-06-22&check_out=2021-06-29&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Grünerløkka,Private room,59.92211,10.76784,56,4.62,112,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Urban Apartments St Hanshaugen Studio 405,https://www.airbnb.com/rooms/45339712?adults=1&children=0&infants=0&check_in=2021-07-19&check_out=2021-07-25&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,St. Hanshaugen,Entire apartment,59.92024,10.74333,45,4.33,3,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Modern central apartment,https://www.airbnb.com/rooms/14467108?adults=1&children=0&infants=0&check_in=2021-07-16&check_out=2021-07-22&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Gamle Oslo,Entire apartment,59.91465,10.76323,93,4.88,18,3,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
TJUVHOLMEN- PENTHOUSE- PRIVAT TAKTERASSE,https://www.airbnb.com/rooms/48176265?adults=1&children=0&infants=0&check_in=2021-08-01&check_out=2021-08-06&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Sentrum,Entire condominium,59.90956,10.72234,342,5.0,3,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
countryside: cottage & boat near Fjord & Oslo,https://www.airbnb.com/rooms/2836736?adults=1&children=0&infants=0&check_in=2021-07-29&check_out=2021-08-04&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Nesodden,Entire house,59.8461,10.68386,65,4.73,60,4,0,2,4,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Cozy apartment with a view next to city center,https://www.airbnb.com/rooms/42031258?adults=1&children=0&infants=0&check_in=2021-07-18&check_out=2021-07-25&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Nordstrand,Entire condominium,59.9006,10.78759,99,4.79,14,4,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
"Nice, central and affordable - Your Home in Oslo",https://www.airbnb.com/rooms/16776270?adults=1&children=0&infants=0&check_in=2021-08-29&check_out=2021-09-04&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Nordre Aker,Private room,59.9397,10.7164,60,4.92,190,2,0,1,2,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Jotun room in the Heart of Oslo!3 min from castle,https://www.airbnb.com/rooms/39547377?adults=1&children=0&infants=0&check_in=2021-07-12&check_out=2021-07-17&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Frogner,Private room,59.91398,10.72443,56,4.73,11,2,0,1,1,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Delicate and urban apartment with shared Rooftop,https://www.airbnb.com/rooms/46019773?adults=1&children=0&infants=0&check_in=2021-07-12&check_out=2021-07-17&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Grünerløkka,Entire apartment,59.92763,10.75076,163,,,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Large, exclusive apt - central, calm neighbourhood",https://www.airbnb.com/rooms/45559217?adults=1&children=0&infants=0&check_in=2021-07-14&check_out=2021-07-20&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,St. Hanshaugen,Entire condominium,59.93073,10.7346,234,,,6,0,3,3,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"Tyr Room, EASY ACCESS FROM AIRPORT!",https://www.airbnb.com/rooms/13841730?adults=1&children=0&infants=0&check_in=2021-08-12&check_out=2021-08-18&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Frogner,Private room,59.91358,10.72585,68,4.76,113,2,0,1,1,2.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0
"Oslo apartment , 20 min to Central station, Zen",https://www.airbnb.com/rooms/18512929?adults=1&children=0&infants=0&check_in=2021-06-27&check_out=2021-07-03&previous_page_section_name=1000&federated_search_id=9a855db4-1cb7-479f-b796-8f6d94ef00dd,Oslo,Oslo,Entire apartment,59.8343,10.85025,60,4.70,263,4,0,1,4,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Modern apartment in city centre,https://www.airbnb.com/rooms/24574162?adults=1&children=0&infants=0&check_in=2021-06-23&check_out=2021-06-29&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire apartment,60.40307,5.32225,115,4.85,54,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Central studio basement apartment,https://www.airbnb.com/rooms/9929457?adults=1&children=0&infants=0&check_in=2021-08-24&check_out=2021-08-30&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire guest suite,60.39427,5.31556,66,4.67,408,2,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Koselig loftleilighet med utsikt,https://www.airbnb.com/rooms/45354757?adults=1&children=0&infants=0&check_in=2021-06-21&check_out=2021-06-28&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Årstad,Entire condominium,60.3732,5.3374,35,,,2,0,1,1,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0
KG#12 Penthouse Apartment,https://www.airbnb.com/rooms/18859702?adults=1&children=0&infants=0&check_in=2021-08-29&check_out=2021-09-05&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.391,5.3302,122,4.94,399,6,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern studio apartment - Quiet but central area.,https://www.airbnb.com/rooms/21330017?adults=1&children=0&infants=0&check_in=2021-08-16&check_out=2021-08-21&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire apartment,60.39957,5.30667,51,4.54,222,3,1,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Big apartment in Bergen City Center,https://www.airbnb.com/rooms/18234704?adults=1&children=0&infants=0&check_in=2021-06-06&check_out=2021-06-11&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.39021,5.31709,116,4.84,197,6,0,2,5,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern apartment for sight and fishing in centrum,https://www.airbnb.com/rooms/42741772?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-05&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire condominium,60.4062,5.3221,127,4.94,63,5,0,2,4,1.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Leilighet med 3 soverom i Bergen sentrum,https://www.airbnb.com/rooms/33766650?adults=1&children=0&infants=0&check_in=2021-06-21&check_out=2021-06-27&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire condominium,60.3992,5.3263,152,4.94,34,6,0,3,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Skansen Apartments, apt. 4",https://www.airbnb.com/rooms/49102653?adults=1&children=0&infants=0&check_in=2021-07-25&check_out=2021-08-01&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire apartment,60.39867,5.32738,119,,,6,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Apartment in the heart on Bergen,https://www.airbnb.com/rooms/13063163?adults=1&children=0&infants=0&check_in=2021-06-19&check_out=2021-06-26&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.39246,5.31751,66,4.91,583,4,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
KG#14-16 Penthouse Apartment,https://www.airbnb.com/rooms/33864479?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-06&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire apartment,60.39214,5.33086,155,4.98,144,7,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Large seafront retreat - pier, garden, water-sport",https://www.airbnb.com/rooms/26345796?adults=1&children=0&infants=0&check_in=2021-06-30&check_out=2021-07-05&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Askøy,Entire house,60.43538,5.23553,123,4.98,59,8,0,3,5,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Flott ny leilighet i hjertet av Bergen sentrum,https://www.airbnb.com/rooms/47815036?adults=1&children=0&infants=0&check_in=2021-07-18&check_out=2021-07-23&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire condominium,60.3961,5.33092,106,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Modern and spacious flat centrally located,https://www.airbnb.com/rooms/16896287?adults=1&children=0&infants=0&check_in=2021-07-26&check_out=2021-08-02&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.4008,5.3262,175,4.94,49,7,0,3,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Koselig leilighet midt i Bergen sentrum,https://www.airbnb.com/rooms/49049578?adults=1&children=0&infants=0&check_in=2021-07-12&check_out=2021-07-19&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire condominium,60.3946,5.32974,101,,,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Amazing Apartment in Super Central Location.,https://www.airbnb.com/rooms/4872812?adults=1&children=0&infants=0&check_in=2021-06-02&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.39668,5.3303,97,4.55,179,10,0,4,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Luxury Apartment Close to The City Center,https://www.airbnb.com/rooms/33893360?adults=1&children=0&infants=0&check_in=2021-07-19&check_out=2021-07-26&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergenhus,Entire apartment,60.392,5.33705,106,4.24,18,5,0,2,3,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Postbakken 30,https://www.airbnb.com/rooms/12755379?adults=1&children=0&infants=0&check_in=2021-06-25&check_out=2021-07-02&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Askøy,Entire house,60.42156,5.23648,91,4.90,111,10,0,5,5,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
High standard apartment close to city centre!,https://www.airbnb.com/rooms/15318101?adults=1&children=0&infants=0&check_in=2021-07-05&check_out=2021-07-12&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Bergen,Entire apartment,60.3971,5.3142,142,5.0,4,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Extraordinary view City center &  good Sea View,https://www.airbnb.com/rooms/39887048?adults=1&children=0&infants=0&check_in=2021-07-09&check_out=2021-07-15&previous_page_section_name=1000&federated_search_id=e6e6dedb-fed4-44e2-af1c-31f96be24f32,Bergen,Laksevåg,Entire house,60.38899,5.28553,84,3.0,3,4,0,3,4,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Cosy apartment- Best location,https://www.airbnb.com/rooms/28209924?adults=1&children=0&infants=0&check_in=2021-08-13&check_out=2021-08-19&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.40012,5.32367,53,4.68,77,2,0,1,2,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2-roms leilighet/2-room apartment at Slettebakken,https://www.airbnb.com/rooms/49474949?adults=1&children=0&infants=0&check_in=2021-08-11&check_out=2021-08-18&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Årstad,Entire condominium,60.34761,5.358,45,,,2,0,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
New Balcony Suite behind Bryggen. Free parking.,https://www.airbnb.com/rooms/47067018?adults=1&children=0&infants=0&check_in=2021-07-09&check_out=2021-07-15&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.39777,5.32649,106,5.0,6,2,1,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Beautiful Grand Apartment in the heart of Bergen,https://www.airbnb.com/rooms/28999353?adults=1&children=0&infants=0&check_in=2021-08-27&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.3957,5.3139,176,4.97,64,7,0,3,5,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Sentral leilighet i hjertet av Bergen,https://www.airbnb.com/rooms/45085358?adults=1&children=0&infants=0&check_in=2021-08-20&check_out=2021-08-26&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire condominium,60.39989,5.32596,75,4.88,8,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Supersentral, lekker leilighet med nydelig utsikt",https://www.airbnb.com/rooms/48236061?adults=1&children=0&infants=0&check_in=2021-07-27&check_out=2021-08-02&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire condominium,60.39532,5.31898,104,,,4,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Lovely apartment close to city center free parking,https://www.airbnb.com/rooms/20652034?adults=1&children=0&infants=0&check_in=2021-08-09&check_out=2021-08-14&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergen,Entire apartment,60.37386,5.34673,104,5.0,37,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Moderne og koselig leilighet i Sandviken,https://www.airbnb.com/rooms/45490922?adults=1&children=0&infants=0&check_in=2021-06-12&check_out=2021-06-17&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire condominium,60.4033,5.3281,70,,,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Nyrenovert leilighet på Laksevåg,https://www.airbnb.com/rooms/49304720?adults=1&children=0&infants=0&check_in=2021-06-23&check_out=2021-06-30&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Laksevåg,Entire condominium,60.38801,5.28792,90,,,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Luminous roof-top in Bergen w sea view terrace,https://www.airbnb.com/rooms/18573436?adults=1&children=0&infants=0&check_in=2021-07-01&check_out=2021-07-07&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergen,Entire loft,60.4036,5.3262,90,4.89,19,4,0,1,2,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
3-rooms apartment in the City center,https://www.airbnb.com/rooms/41702005?adults=1&children=0&infants=0&check_in=2021-07-28&check_out=2021-08-02&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.38672,5.32001,101,4.83,6,5,0,2,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Rolig leilighet med uteplass, midt i sentrum",https://www.airbnb.com/rooms/44672938?adults=1&children=0&infants=0&check_in=2021-08-18&check_out=2021-08-24&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.39098,5.32957,117,,,6,0,3,4,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Bergen City Centre, great view!!",https://www.airbnb.com/rooms/513244?adults=1&children=0&infants=0&check_in=2021-06-02&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergen,Entire apartment,60.3994,5.3259,103,4.55,336,6,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Flott leil. i Rosehuset - midt i Bergen sentrum,https://www.airbnb.com/rooms/32829786?adults=1&children=0&infants=0&check_in=2021-07-24&check_out=2021-07-30&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.38847,5.31733,96,4.86,59,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern apartment in the heart of Bergen,https://www.airbnb.com/rooms/13249197?adults=1&children=0&infants=0&check_in=2021-08-01&check_out=2021-08-07&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergen,Entire apartment,60.39234,5.3172,95,4.89,633,4,0,2,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Cozy, bright and well-located apartment in Bergen!",https://www.airbnb.com/rooms/24528074?adults=1&children=0&infants=0&check_in=2021-07-06&check_out=2021-07-13&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.37863,5.33073,62,4.85,48,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Stor 3 - romsleilighet,https://www.airbnb.com/rooms/48874309?adults=1&children=0&infants=0&check_in=2021-07-08&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Årstad,Entire condominium,60.34795,5.36482,59,,,4,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
"Skansen Apartments, apt. 3",https://www.airbnb.com/rooms/49102160?adults=1&children=0&infants=0&check_in=2021-07-24&check_out=2021-07-30&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Bergenhus,Entire apartment,60.39716,5.3269,94,,,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Modern apartment with a beautiful view of Ulriken,https://www.airbnb.com/rooms/46600624?adults=1&children=0&infants=0&check_in=2021-07-03&check_out=2021-07-10&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Årstad,Entire apartment,60.37055,5.33432,75,5.0,3,4,0,1,2,1.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Waterfront flat with panoramic views close to city,https://www.airbnb.com/rooms/36973466?adults=1&children=0&infants=0&check_in=2021-06-07&check_out=2021-06-13&previous_page_section_name=1000&federated_search_id=8159e2ed-17c2-448a-b919-ea48bf7fb875,Bergen,Åsane,Entire apartment,60.51951,5.2906,93,5.0,25,3,0,2,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Doubledate! Free parking,https://www.airbnb.com/rooms/48932180?adults=1&children=0&infants=0&check_in=2021-07-23&check_out=2021-07-28&previous_page_section_name=1000&federated_search_id=dd6222f0-30f5-4a03-8522-17041d2d9201,Bergen,Bergenhus,Entire apartment,60.39939,5.32688,106,,,4,1,1,4,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
"Quiet, spotless and very central 2-room apartment",https://www.airbnb.com/rooms/34815305?adults=1&children=0&infants=0&check_in=2021-06-30&check_out=2021-07-05&previous_page_section_name=1000&federated_search_id=dd6222f0-30f5-4a03-8522-17041d2d9201,Bergen,Bergenhus,Entire condominium,60.38542,5.32923,94,4.89,19,4,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Cosy apartment by the foot of Ulriken,https://www.airbnb.com/rooms/42334748?adults=1&children=0&infants=0&check_in=2021-08-31&check_out=2021-09-07&previous_page_section_name=1000&federated_search_id=dd6222f0-30f5-4a03-8522-17041d2d9201,Bergen,Bergen,Entire apartment,60.37044,5.37245,53,4.67,21,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
