title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Saga Caves Plus,https://www.airbnb.com/rooms/33442693?adults=1&children=0&infants=0&check_in=2021-06-06&check_out=2021-06-11&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire condominium,58.87191,5.72389,85,4.93,14,7,0,3,5,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Kveldsro at Grønnevikveien 76,https://www.airbnb.com/rooms/8021675?adults=1&children=0&infants=0&check_in=2021-08-27&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire cabin,58.9273,5.80143,122,4.76,30,7,0,3,6,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Modern studio in Sandnes.,https://www.airbnb.com/rooms/5306527?adults=1&children=0&infants=0&check_in=2021-06-06&check_out=2021-06-12&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire apartment,58.86594,5.74502,39,4.77,77,2,1,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Gammelt å koselig hus med utsikt,https://www.airbnb.com/rooms/48736925?adults=1&children=0&infants=0&check_in=2021-07-04&check_out=2021-07-09&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire house,58.92814,5.86595,120,,,7,0,2,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Old Stavanger house w/history from 1801,https://www.airbnb.com/rooms/13305399?adults=1&children=0&infants=0&check_in=2021-06-07&check_out=2021-06-14&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire house,58.97192,5.72555,156,4.77,137,5,0,3,4,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Flott nyere enebolig med herlig utsikt og uteplass,https://www.airbnb.com/rooms/13263899?adults=1&children=0&infants=0&check_in=2021-07-22&check_out=2021-07-28&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire house,58.83245,5.70971,182,4.86,7,6,0,3,3,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Moderne arkitekttegnet hus med god beliggenhet,https://www.airbnb.com/rooms/43513295?adults=1&children=0&infants=0&check_in=2021-06-09&check_out=2021-06-16&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire house,58.82604,5.7284,236,,,11,0,5,4,2.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Top-rated «Comfy & Cozy» appartment .,https://www.airbnb.com/rooms/35539786?adults=1&children=0&infants=0&check_in=2021-07-26&check_out=2021-08-01&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Sandnes,Entire apartment,58.87836,5.73772,51,4.91,33,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Cosy and spacious basement apartment Stavanger,https://www.airbnb.com/rooms/15787948?adults=1&children=0&infants=0&check_in=2021-06-02&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.90098,5.7115,64,4.82,92,5,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Saga Caves Straen 2,https://www.airbnb.com/rooms/46040130?adults=1&children=0&infants=0&check_in=2021-07-18&check_out=2021-07-25&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.9701,5.72637,100,,,3,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
60 m2 appartement in Stavanger,https://www.airbnb.com/rooms/46206703?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-08&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.89823,5.73916,58,4.83,6,4,0,1,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Silent street, downtown Stavanger",https://www.airbnb.com/rooms/30922226?adults=1&children=0&infants=0&check_in=2021-08-15&check_out=2021-08-20&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.973,5.7332,123,4.83,30,3,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Sentralt*privat bad*solrikt*utsikt*wifi*gratis p-*,https://www.airbnb.com/rooms/27888126?adults=1&children=0&infants=0&check_in=2021-06-09&check_out=2021-06-15&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Private room,58.95505,5.72944,39,5.0,3,2,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Luxurious apt. close to the city, hiking & beach.",https://www.airbnb.com/rooms/25186861?adults=1&children=0&infants=0&check_in=2021-08-28&check_out=2021-09-02&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Entire apartment,58.95251,5.66771,118,4.72,30,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
"Stavanger, central and charming",https://www.airbnb.com/rooms/7566111?adults=1&children=0&infants=0&check_in=2021-07-14&check_out=2021-07-20&previous_page_section_name=1000&federated_search_id=e7d33192-c0f0-4561-aa4c-e89d1c6ba87b,Stavanger,Stavanger,Private room,58.9634,5.7445,43,5.0,49,2,0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0
